claim,evidence,metric,status,remaining_gap
C1: frequency-separated HRL can share one training core,"Shared dual PPO loop drives Trading and Transit surrogate adapters, and a native Transit episode loop now uses the same PPO core for upper/lower actions.","trading plan return=0.2991; transit composite=1.6950337432937435; native bridge=supported_interface U=20x4 L=43x1; native loop=supported_native_episode_loop, wait=6.9890; offpolicy native=supported_native_episode_loop, replay_updates=3",supported native loop,Native shared-PPO episode loop exists; multi-seed native performance validation remains.
C2: high-level plan variables can be learned as curves,Upper PPO action can parameterize Bernstein coefficients.,"plan-PPO return=0.2991, LowerLFDrift=1.5481",supported synthetic,Public-data and copied-Transit learned plan-coefficient training remain open.
C3: promotion should trigger replanning after persistent shocks,"Deterministic replan improves trading recovery, a learned PPO promotion gate improves Transit surrogate reward/wait, and native Transit promotion-replan increases timetable replans.","return delta=0.0014, recovery regret delta=-0.0007; learned transit reward=+0.0047 [+0.0016, +0.0076], wait=-0.0079 [-0.0096, -0.0062], replans=+20.1000 [+14.9000, +25.5000]; native reward=+0.0168 [-11.2749, +16.2435], native replans=+49.4167 [+36.4146, +62.0000]; native learned reward=+3.6935 [-12.3283, +17.8474], native learned score=-0.0068 [-0.0904, +0.0555], native learned gate replans=+1.5000 [+1.0813, +1.9167]",supported learned; native guarded-gate path,"Native learned gate now preserves the closed native action policy and has CI-supported gate replans; episode reward/wait remain inconclusive, so larger off-policy/native training remains."
C4: leakage can be constrained at loss level,PPO trajectory constraints with primal-dual multiplier reduce lower-LF drift.,"trading drift delta=-1.0782 [-1.2590, -0.8371]; return delta=-0.0003 [-0.0011, +0.0006]",supported,Projected and raw lower-drift constraints are supported in surrogate diagnostics; native and real-data confirmation remain.
C5: advanced causal encoders can be swapped by domain,Adaptive lifting wavelet and neural/PINN state-space encoders run in Trading and Transit trackers and ablations.,adaptive Sharpe=13.0749; neural Sharpe=6.8422; EMA Sharpe=16.0625,supported path,Neural/PINN encoder path exists; larger cross-domain performance validation is still needed.
C6: public-data validation covers more than daily bars,"Yahoo 5-minute SPY/QQQ/IWM encoder ablation, order-book microstructure CSV adapter artifacts, multi-seed spread/depth/latency stress checks, and an L2 market-order matching simulator with CSV input support.","best intraday encoder=adaptive_wavelet, Sharpe=-9.2200; best order-book encoder=state_space, Sharpe=299.9851; best stress encoder=adaptive_wavelet under stale_book, Sharpe=243.4833; stress adaptive Sharpe=+0.2807 [-0.3942, +0.9004]; best L2 matching encoder=state_space latency=0, Sharpe=599.2800; L2 adaptive Sharpe=+1.0908 [-0.2300, +2.4692]",supported path,"Order-book adapter, stress matrix, and L2 matching simulator exist; larger real L2/L3 feeds and exchange queue-priority modeling remain for the strongest data claim."
C7: integrated native Transit Freq-HRL closes the copied-runner gap,"Gap-closure matrix combines count demand state, plan curves, promotion replanning, native lower context, wait credit, and drift constraint; native loop runs the same shared PPO core inside the copied Transit simulator.","reward delta=+0.0565 [+0.0485, +0.0608]; wait delta=-0.0758 [-0.0815, -0.0651]; drift delta=-0.0199 [-0.0199, -0.0198]; native-loop samples=4970",supported,Supported on surrogate performance plus a native shared-PPO episode loop and native AFC/APC-profile passenger generation; exact AFC/APC OD geometry and alighting-throughput support remain open.
C8: passenger waiting-time frequency credit improves control quality,Full Freq-HRL path is paired against the same path without wait attribution in both the surrogate gate and the native shared-PPO Transit loop; real AFC/APC demand traces are replayed through the shared PPO control loop.,"surrogate wait delta=-0.1251 [-0.1468, -0.1020]; native final wait delta=-8.5908 [-20.4276, -0.9074]; native score delta=+8.6724 [+1.0542, +20.4807]; native reward delta=+2037.3278 [-66.8598, +6165.1210]; real-demand objective delta=+1.8114 [+1.2826, +2.4539]; real-demand wait delta=-1.6741 [-2.2818, -1.1728]; native real-demand wait delta=-0.0830 [-0.2248, +0.0567]",supported native; real-demand positive-mixed,Native wait-credit path is supported in the shared-PPO loop; native real-demand passenger loop has score/reward support but wait is not fully CI-supported and exact AFC/APC OD validation remains open.
C9: leakage constraints achieve no-tradeoff responsibility separation,Trading and Transit primal-dual constraints are checked on paired seeds for drift and task-return deltas.,"trading drift=supported, trading return=supported, transit drift=supported, transit reward=supported; raw drift trading=supported, raw drift transit=supported",supported,Supported on surrogate Trading/Transit with raw-drift diagnostics; still needs native Transit and real-data confirmation.
C10: causal count-state demand estimators support Transit demand validation,Poisson/NB harmonic estimator is paired against Fourier by seed/source across synthetic/copy/GTFS traces; real MTA AFC station-hour ridership and Halifax APC route boardings include causal calibrated profile baselines and shared-PPO control replay.,"all-demand MSE delta=+4202.4659 [+1172.4726, +8434.5613]; AFC NB MSE delta=+16121.7347 [+6009.5751, +31280.0939]; AFC profile MSE delta=-7186235.1828 [-10935870.1938, -4496470.4747]; APC profile MSE delta=-5034.9993 [-8843.9598, -2369.0635]; real-control objective delta=+1.8114 [+1.2826, +2.4539]; native real-control score delta=+99.6725 [+62.3044, +137.0299]; native board-wait delta=-0.0833 [-0.2251, +0.0564]; native alighted delta=-4.8333 [-9.8333, -0.8333]",supported afc+apc-calibrated+native-score,"Real AFC/APC profiles now drive native passenger generation with boarding/alighting/onboard-load metrics; score is supported, board-wait is positive_mixed, alighted throughput is not_supported, and exact public OD/onboard occupancy feeds remain open."
