method,seed,series_id,mse,mae,poisson_nll_no_const,n,mean_count
ema,0,"611:Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",38875804.38007812,5222.724822455495,-24378.843778444694,313,5373.875370919881
fourier,0,"611:Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",39084210.003595665,5219.883613488745,-23681.71479371549,313,5373.875370919881
dynamic_harmonic_nb,0,"611:Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",39230742.13994119,5235.44887027072,-22816.793082397253,313,5373.875370919881
ema,1,"610:Grand Central-42 St (S,4,5,6,7)",28723945.291876398,3892.8923986754126,-17450.76856560083,313,4041.46884272997
fourier,1,"610:Grand Central-42 St (S,4,5,6,7)",28978298.42999275,3889.8679755898265,-16405.38626525841,313,4041.46884272997
dynamic_harmonic_nb,1,"610:Grand Central-42 St (S,4,5,6,7)",29060110.88908852,3902.6334706154153,-15788.023402612995,313,4041.46884272997
ema,2,"607:34 St-Herald Sq (B,D,F,M,N,Q,R,W)",14128755.502225718,2901.505785632395,-12042.380077861784,313,2984.845697329377
fourier,2,"607:34 St-Herald Sq (B,D,F,M,N,Q,R,W)",14254008.227708025,2900.3402707408704,-11308.952149732493,313,2984.845697329377
dynamic_harmonic_nb,2,"607:34 St-Herald Sq (B,D,F,M,N,Q,R,W)",14277449.844497528,2906.1801705395915,-11076.671874891526,313,2984.845697329377
ema,3,"602:14 St-Union Sq (L,N,Q,R,W,4,5,6)",12982618.25302797,2742.387746149482,-11340.65642547076,313,2821.5489614243324
fourier,3,"602:14 St-Union Sq (L,N,Q,R,W,4,5,6)",13116912.03744079,2741.4054162466946,-10516.320974225755,313,2821.5489614243324
dynamic_harmonic_nb,3,"602:14 St-Union Sq (L,N,Q,R,W,4,5,6)",13140779.24260831,2747.7326473641037,-10243.670007917426,313,2821.5489614243324
ema,4,"628:Fulton St (A,C,J,Z,2,3,4,5)",10009127.46667479,2255.3619610001215,-8903.338889154507,313,2342.53115727003
fourier,4,"628:Fulton St (A,C,J,Z,2,3,4,5)",10105481.194429018,2252.5940628839644,-8253.99414619056,313,2342.53115727003
dynamic_harmonic_nb,4,"628:Fulton St (A,C,J,Z,2,3,4,5)",10116694.267348612,2256.9463503190977,-8138.594141496305,313,2342.53115727003
ema,5,"164:34 St-Penn Station (A,C,E)",7176580.080094984,2156.535490440257,-8192.358611632706,313,2227.0296735905044
fourier,5,"164:34 St-Penn Station (A,C,E)",7222099.929976052,2155.034157439269,-7828.961360852085,313,2227.0296735905044
dynamic_harmonic_nb,5,"164:34 St-Penn Station (A,C,E)",7240002.78246354,2160.1493088468387,-7569.579640741891,313,2227.0296735905044
ema,6,"614:59 St-Columbus Circle (A,B,C,D,1)",7261089.408518933,2032.795567796046,-7791.955215376844,313,2101.789317507418
fourier,6,"614:59 St-Columbus Circle (A,B,C,D,1)",7334163.439910782,2031.4080682049873,-7217.064492559102,313,2101.789317507418
dynamic_harmonic_nb,6,"614:59 St-Columbus Circle (A,B,C,D,1)",7341204.741077298,2034.5712479192405,-7115.60712721986,313,2101.789317507418
ema,7,"318:34 St-Penn Station (1,2,3)",6336407.903705844,1998.4475023973537,-7417.781201411801,313,2063.1691394658756
fourier,7,"318:34 St-Penn Station (1,2,3)",6375372.834565776,1997.0226705823761,-7087.616502357474,313,2063.1691394658756
dynamic_harmonic_nb,7,"318:34 St-Penn Station (1,2,3)",6392560.02472658,2002.2733074149642,-6804.004211944754,313,2063.1691394658756
ema,8,"616:74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",4277364.988344111,1689.648876612211,-5996.895310454614,313,1734.0830860534124
fourier,8,"616:74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",4305078.052827456,1688.468045774566,-5730.622437882746,313,1734.0830860534124
dynamic_harmonic_nb,8,"616:74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",4311360.403847073,1690.899107737001,-5609.731530148405,313,1734.0830860534124
ema,9,"624:Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",5616030.312599214,1598.2101953709748,-5838.692792106181,313,1662.1632047477744
fourier,9,"624:Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",5677822.170356234,1596.0512470382334,-5270.894816252128,313,1662.1632047477744
dynamic_harmonic_nb,9,"624:Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",5683292.274478281,1599.391262474478,-5186.668681567252,313,1662.1632047477744
ema,10,447:Flushing-Main St (7),4289621.012070408,1525.5900790684789,-5502.392402072069,313,1584.3323442136498
fourier,10,447:Flushing-Main St (7),4323554.723457961,1531.4569802728286,-5163.055976372368,313,1584.3323442136498
dynamic_harmonic_nb,10,447:Flushing-Main St (7),4338267.037409559,1535.1086732130982,-4815.787953022486,313,1584.3323442136498
ema,11,"612:Lexington Av-53 St (E,M)/51 St (6)",4819924.800728949,1416.6213271132483,-5074.634497283768,313,1481.2818991097922
fourier,11,"612:Lexington Av-53 St (E,M)/51 St (6)",4878240.64079086,1414.3930805139864,-4508.0420197863705,313,1481.2818991097922
dynamic_harmonic_nb,11,"612:Lexington Av-53 St (E,M)/51 St (6)",4878697.850956845,1416.0716524688314,-4520.0031593123895,313,1481.2818991097922
ema,12,"225:47-50 Sts-Rockefeller Ctr (B,D,F,M)",5590416.485007407,1388.0029966888783,-5039.310498982607,313,1450.6706231454007
fourier,12,"225:47-50 Sts-Rockefeller Ctr (B,D,F,M)",5664140.687802759,1386.1025655798499,-4294.743479681796,313,1450.6706231454007
dynamic_harmonic_nb,12,"225:47-50 Sts-Rockefeller Ctr (B,D,F,M)",5662559.620595518,1387.4720894280772,-4360.485380727285,313,1450.6706231454007
ema,13,"618:14 St (A,C,E)/8 Av (L)",3518659.3493427285,1403.9627569507675,-4870.468629585771,313,1440.480712166172
fourier,13,"618:14 St (A,C,E)/8 Av (L)",3556191.196554488,1403.3688152510058,-4425.348240538605,313,1440.480712166172
dynamic_harmonic_nb,13,"618:14 St (A,C,E)/8 Av (L)",3559489.5928319483,1405.5234935029735,-4355.36003829662,313,1440.480712166172
ema,14,"609:Bryant Pk (B,D,F,M)/5 Av (7)",4481992.0476298155,1371.077736091149,-4849.889937038086,313,1423.9910979228487
fourier,14,"609:Bryant Pk (B,D,F,M)/5 Av (7)",4536435.446016829,1369.4835799150558,-4267.168393621629,313,1423.9910979228487
dynamic_harmonic_nb,14,"609:Bryant Pk (B,D,F,M)/5 Av (7)",4536422.895610173,1370.988047648806,-4289.360724257213,313,1423.9910979228487
ema,15,"613:Lexington Av (N,R,W)/59 St (4,5,6)",3717278.980964078,1341.90826785444,-4650.328726830464,313,1390.551928783383
fourier,15,"613:Lexington Av (N,R,W)/59 St (4,5,6)",3759554.3390622884,1340.6999108995838,-4173.111944584394,313,1390.551928783383
dynamic_harmonic_nb,15,"613:Lexington Av (N,R,W)/59 St (4,5,6)",3760730.4271195633,1342.2653925406928,-4157.937989834875,313,1390.551928783383
ema,16,"167:W 4 St-Wash Sq (A,C,E,B,D,F,M)",2772694.053849401,1330.888176635281,-4453.372483445746,313,1359.8813056379822
fourier,16,"167:W 4 St-Wash Sq (A,C,E,B,D,F,M)",2797754.6669630725,1330.944097464968,-4115.916151839133,313,1359.8813056379822
dynamic_harmonic_nb,16,"167:W 4 St-Wash Sq (A,C,E,B,D,F,M)",2800076.8028194183,1332.3961179047642,-4067.5047513416807,313,1359.8813056379822
ema,17,"617:Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",2635201.168322272,1267.762637021285,-4116.581988315157,313,1310.0682492581602
fourier,17,"617:Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",2651861.9407294705,1267.1144343266462,-3891.1936648455926,313,1310.0682492581602
dynamic_harmonic_nb,17,"617:Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",2654603.3530338546,1268.7582809930009,-3825.7440160329234,313,1310.0682492581602
ema,18,"601:14 St (F,M,1,2,3)/6 Av (L)",2680190.9528493974,1279.252175645931,-4260.281781690472,313,1309.0949554896142
fourier,18,"601:14 St (F,M,1,2,3)/6 Av (L)",2705057.153196712,1278.8324253578014,-3921.928438428953,313,1309.0949554896142
dynamic_harmonic_nb,18,"601:14 St (F,M,1,2,3)/6 Av (L)",2709307.026772192,1281.2454033944553,-3814.5922128357774,313,1309.0949554896142
