baseline,seed,total_return,mean_reward,base_mean_reward,leakage_reward_penalty,leakage_reward_penalty_total,sharpe,sortino,max_drawdown,calmar,turnover,transaction_cost,inventory_drift_mean,post_shift_mean_pnl,post_shift_cum_pnl_120,recovery_cost_120,recovery_regret_120,promotion_count,promotion_delay,PromotionDelay,ShockResponseTime,regime_promotion_accuracy,regime_promotion_precision,regime_promotion_recall,UpperHFPower,LowerLFDrift,FocusScore,freq_attr_n,freq_attr_high_component_pnl,freq_attr_high_component_pnl_total,freq_attr_high_frequency_cost,freq_attr_high_frequency_cost_total,freq_attr_leakage_cost,freq_attr_leakage_cost_total,freq_attr_low_component_pnl,freq_attr_low_component_pnl_total,freq_attr_low_frequency_cost,freq_attr_low_frequency_cost_total,freq_attr_lower_credit,freq_attr_lower_credit_total,freq_attr_promotion_adaptation_cost,freq_attr_promotion_adaptation_cost_total,freq_attr_task_reward,freq_attr_task_reward_total,freq_attr_upper_credit,freq_attr_upper_credit_total,scenario,freq_method,plan_curve_enabled,plan_curve_decisions,plan_curve_reuses,plan_curve_reuse_ratio,plan_curve_smoothness_mean,plan_curve_desired_gap_mean,lower_lf_drift_speed_gain
vanilla_rl,42,-0.8130830874222229,-0.0023595727400312887,-0.0023342034485330076,2.536929149828096e-05,0.018265889878762293,-37.912233553212964,-40.577292389311125,0.8123400221727196,-1.0009147219504413,332.38979624211163,1.9943387774526695,0.004489528450508954,-0.0013770267231198502,-0.16524320677438203,0.17305864978105873,0.28239332776434445,0,-1.0,-1.0,0.0,0.5,0.0,0.0,0.3880507725125252,0.008420624028445055,-0.021196677965990264,720.0,9.978309899992734e-06,0.007184383127994768,0.002938865905886422,2.1159834522382237,2.536929149828096e-05,0.018265889878762293,0.000434712267152281,0.3129928323496423,5.6593280306768306e-06,0.004074716182087318,-0.002951550551635562,-2.125116397177605,0.0,0.0,-0.0023342034485330076,-1.6806264829437654,-1.8343973779817314e-05,-0.013207661121468466,persistent_shift,ema,0.0,0,0,0.0,0.0,0.0,0.0
hrl_raw,42,-0.6173907665259087,-0.0013911552703247164,-0.0013653555510071808,2.5799719317535462e-05,0.018575797908625534,-31.475707636839136,-36.68361034427956,0.616378097734113,-1.0016429344188549,213.2123272965669,1.2792739637794015,0.016264654094897895,-0.0005485863870041093,-0.06583036644049312,0.08191547520534158,0.1829804874304555,0,-1.0,-1.0,0.0,0.5,0.0,0.0,0.3880507725125252,0.013149863245032884,-0.018286729350187405,720.0,1.0314604091608403e-05,0.00742651494595805,0.0019583279949483,1.409996156362776,2.5799719317535462e-05,0.018575797908625534,0.000433628547229064,0.3122125540049261,3.5851690505085456e-06,0.0025813217163661527,-0.001971227854607068,-1.4192840553170891,0.0,0.0,-0.0013653555510071808,-0.9830559967251702,-1.6485028709276278e-05,-0.01186922067067892,persistent_shift,ema,0.0,0,0,0.0,0.0,0.0,0.0
raw_history,42,0.2032051089465412,0.00023707099337002006,0.00025611076399866347,1.9039770628643413e-05,0.013708634852623258,11.144556677386689,23.197572692638982,0.03552272566225467,5.720425591171923,28.067971173569862,0.16840782704141916,0.000521450994997648,0.0006923209623586139,0.08307851548303366,0.003136037094977673,0.03473220554122165,0,-1.0,-1.0,0.12403100775193798,0.5,0.0,0.0,0.018718675736404046,0.31546993266680406,0.08993660465271316,720.0,-8.4211199759388e-06,-0.006063206382675937,0.0004033486182160827,0.29041100511557955,1.9039770628643413e-05,0.013708634852623258,0.0004994745457443465,0.35962167293592945,6.074661050520791e-07,0.0004373755956374969,-0.00041286850353040454,-0.29726532254189125,0.0,0.0,0.00025611076399866347,0.1843997500790377,-1.0127351419373784e-05,-0.007291693021949125,persistent_shift,ema,0.0,0,0,0.0,0.0,0.0,0.0
freq_single_policy,42,-0.07018508206247498,-0.00011606255652437545,-0.00010246688345135273,1.3595673073022704e-05,0.009788884612576347,-3.5827625496517865,-5.769076878150971,0.18277299919281986,-0.38400136985459155,74.3740170296434,0.4462441021778604,0.0008439066673454886,0.00046838082011669885,0.056205698414003864,0.008761932359948208,0.061250740184409375,0,-1.0,-1.0,0.015503875968992248,0.5,0.0,0.0,0.07035731671199498,0.10315800553655734,-0.167825996535708,720.0,5.198211207159857e-07,0.0003742712069155097,0.0007940030187010351,0.5716821734647453,1.3595673073022704e-05,0.009788884612576347,0.0005184845840096505,0.37330890048694837,1.862182324220644e-06,0.0013407712734388637,-0.0008008008552375465,-0.5765766157710335,0.0,0.0,-0.00010246688345135273,-0.07377615608497397,-8.660018860731995e-06,-0.006235213579727037,persistent_shift,ema,0.0,0,0,0.0,0.0,0.0,0.0
lf_upper_only,42,0.2541751383582225,0.00021727395892091655,0.0003146380220549267,9.736406313401014e-05,0.07010212545648731,16.04704469216513,31.576240208707617,0.008695319122820844,29.231260494067485,5.717120339588246,0.03430272203752947,5.1398678477892485e-05,0.0005908906508718992,0.0709068781046279,0.0005761302091084963,0.048273798005621,0,-1.0,-1.0,0.0,0.5,0.0,0.0,0.0006541955533767754,1.8835595680067985,0.8056222741193025,720.0,-3.0465895879263332e-06,-0.00219354450330696,0.00018260186877424816,0.13147334551745868,9.736406313401014e-05,0.07010212545648731,0.0003654300784963775,0.2631096565173918,9.897790293636163e-07,0.0007126409011418037,-0.00023128390034125323,-0.16652440824570233,0.0,0.0,0.0003146380220549267,0.2265393758795472,-4.9671810596368686e-05,-0.035763703629385454,persistent_shift,ema,0.0,0,0,0.0,0.0,0.0,0.0
hf_lower_only,42,-0.005718865609962487,-5.554530093245357e-05,-1.4613721548821379e-05,4.093157938363219e-05,0.029470737156215173,-2.002270046057541,-3.76769349016211,0.01649160650367376,-0.34677431872319536,8.462095230371746,0.05077257138223048,0.00332688729138923,9.451659919406802e-05,0.011341991903288162,0.0014967808497218216,0.1059028895609011,0,-1.0,-1.0,25.728682170542637,0.5,0.0,0.0,0.0,0.8642926988699933,0.027702924259717855,720.0,1.98214611829836e-07,0.00014271452051748193,0.00010747980746399192,0.07738546137407418,4.093157938363219e-05,0.029470737156215173,6.235929867522514e-05,0.0448986950461621,1.9680031252479674e-07,0.00014169622501785365,-0.000127945597155808,-0.09212082995218177,0.0,0.0,-1.4613721548821379e-05,-0.010521879515151393,-2.066259000434089e-05,-0.01487706480312544,persistent_shift,ema,0.0,0,0,0.0,0.0,0.0,0.0
allfreq_alllayers,42,-0.09651572393071606,-0.0001615633253069185,-0.0001417279517799475,1.9583272315573627e-05,0.014099956067213011,-4.82095207012371,-7.4155691831057355,0.19791486527973834,-0.4876628331798022,79.3441821116769,0.4760650926700614,0.0005384611755496997,0.0004452078070030667,0.053424936840368004,0.009984667049145447,0.06400192883500873,28,-1.0,-1.0,0.023255813953488372,0.4766666666666667,0.0,0.0,0.07052094189238563,0.19227565021536214,-0.18531688134298202,720.0,3.5886289365886403e-07,0.0002583812834343821,0.0008362236054300189,0.6020809959096136,1.9583272315573627e-05,0.014099956067213011,0.0005201916252748005,0.3745379701978564,1.921388314205643e-06,0.001383399586228063,-0.0008460152415878056,-0.60913097394322,2.521012113973663e-07,0.00018151287220610372,-0.0001417279517799475,-0.1020441252815622,-1.1965125683389822e-05,-0.008614890492040672,persistent_shift,ema,0.0,0,0,0.0,0.0,0.0,0.0
swapped,42,-0.08794937209811249,-0.00015213783493166935,-0.00013541594929429408,1.646978442597792e-05,0.011858244786704102,-6.795599194899353,-11.749724926213645,0.11405272917235343,-0.7711290447526753,50.91105535424872,0.3054663321254923,0.003845243302226178,0.00034196930275204573,0.04103631633024549,0.009960479895495677,0.07623728226510132,28,-1.0,-1.0,0.015503875968992248,0.4766666666666667,0.0,0.0,0.10232507940387083,0.2005837600174532,-0.4277531850907749,720.0,7.033173135417729e-07,0.0005063884657500765,0.0005655318423142328,0.4071829264662476,1.646978442597792e-05,0.011858244786704102,0.00029583001461535577,0.21299761052305616,1.2187328800071563e-06,0.0008774876736051526,-0.0005737667345272217,-0.4131120488595996,2.521012113973663e-07,0.00018151287220610372,-0.00013541594929429408,-0.09749948349189175,-9.705726304393482e-06,-0.006988122939163307,persistent_shift,ema,0.0,0,0,0.0,0.0,0.0,0.0
no_promotion,42,0.2540364179956629,0.00022315371347407737,0.0003145276999526356,9.13739864785582e-05,0.06578927026456191,15.91558582612469,29.01795889436229,0.008708189084432716,29.172129306401228,5.735369518633538,0.03441221711180122,3.080571436312065e-05,0.0005910245787839062,0.07092294945406874,0.0005737175597438517,0.048258378664967946,0,-1.0,-1.0,0.0,0.5,0.0,0.0,0.0006541955533767754,1.7307992449115577,0.8050479060954572,720.0,-3.1558908674002783e-06,-0.0022722414245282003,0.00018284758960068921,0.13165026451249623,9.13739864785582e-05,0.06578927026456191,0.00036553994823737497,0.26318876273090996,9.892157955153645e-07,0.0007122353727710624,-0.00022853458283996826,-0.16454489964477714,0.0,0.0,0.0003145276999526356,0.22645994396589764,-4.667620903479447e-05,-0.03360687050505202,persistent_shift,ema,0.0,0,0,0.0,0.0,0.0,0.0
no_leakage,42,0.23351931406936988,0.0002895607273164563,0.00028981282852785366,0.0,0.0,14.697760888688265,33.38574756153419,0.019565251022960473,11.935411091599448,11.751668470233287,0.07051001082139972,0.0009296488452367024,0.0006208877181687898,0.07450652618025477,0.0007530301798340992,0.0443593622443653,28,-1.0,-1.0,2.7829457364341086,0.4766666666666667,0.0,0.0,0.0008799908031259406,0.9524871588761602,0.7634859662403162,720.0,2.658679261802622e-07,0.00019142490684978877,0.00022962637648672464,0.16533099107044175,0.0,0.0,0.00038933682887742416,0.2803225167917454,9.52154474999619e-07,0.0006855512219997257,-0.00022962637648672464,-0.16533099107044175,2.521012113973663e-07,0.00018151287220610372,0.00028981282852785366,0.20866523654005464,-1.2042556863969853e-06,-0.0008670640942058294,persistent_shift,ema,0.0,0,0,0.0,0.0,0.0,0.0
